Original Value,Random Combination
Fixed deposit,"Pradhan mantri awas yojana,home loan balance transfer,gold loan,loan against property,business loan,recurring deposit,old car loan,Insta home loan,Manchester United,FD Xtra,money multiplier FD,Flexi cash,Tax saving FD,Travel insurance,vehicle insurance,new car loan,loan against car,loan against securities,life insurance,Insta PL,RubyX,Insta car loan,education loan,Fixed deposit,Sapphiro"
education loan,"education loan,Tax saving FD,old car loan,Manchester United,vehicle insurance,FD Xtra,loan against securities,loan against car,Sapphiro,Flexi cash,loan against property,Fixed deposit,Insta home loan,new car loan,gold loan,money multiplier FD,Insta PL,Pradhan mantri awas yojana,Travel insurance,Insta car loan,recurring deposit,business loan,life insurance,RubyX,home loan balance transfer"
business loan,"education loan,old car loan,Sapphiro,home loan balance transfer,Insta PL,new car loan,business loan,loan against property,life insurance,Tax saving FD,vehicle insurance,Fixed deposit,loan against car,RubyX,money multiplier FD,recurring deposit,FD Xtra,loan against securities,Travel insurance,Pradhan mantri awas yojana,Manchester United,Insta home loan,gold loan,Insta car loan,Flexi cash"
RubyX,"loan against car,money multiplier FD,new car loan,Insta car loan,recurring deposit,home loan balance transfer,Pradhan mantri awas yojana,Travel insurance,Sapphiro,FD Xtra,Tax saving FD,gold loan,loan against securities,Fixed deposit,old car loan,Insta home loan,education loan,life insurance,Insta PL,business loan,vehicle insurance,Manchester United,RubyX,Flexi cash,loan against property"
new car loan,"loan against securities,money multiplier FD,RubyX,life insurance,Insta PL,business loan,Flexi cash,loan against car,education loan,Insta home loan,Tax saving FD,Fixed deposit,Insta car loan,vehicle insurance,new car loan,Sapphiro,old car loan,home loan balance transfer,loan against property,Pradhan mantri awas yojana,FD Xtra,recurring deposit,Manchester United,gold loan,Travel insurance"
recurring deposit,"Pradhan mantri awas yojana,old car loan,FD Xtra,Insta home loan,Fixed deposit,RubyX,Sapphiro,Tax saving FD,money multiplier FD,home loan balance transfer,Flexi cash,new car loan,Insta car loan,Manchester United,vehicle insurance,business loan,recurring deposit,life insurance,loan against securities,Travel insurance,education loan,loan against property,loan against car,gold loan,Insta PL"
Tax saving FD,"Insta car loan,RubyX,gold loan,vehicle insurance,loan against car,money multiplier FD,recurring deposit,Insta home loan,Tax saving FD,loan against property,Insta PL,business loan,Fixed deposit,FD Xtra,Manchester United,Travel insurance,life insurance,home loan balance transfer,Flexi cash,old car loan,education loan,Sapphiro,Pradhan mantri awas yojana,new car loan,loan against securities"
Pradhan mantri awas yojana,"Sapphiro,home loan balance transfer,Insta car loan,education loan,FD Xtra,new car loan,Travel insurance,loan against car,Insta home loan,money multiplier FD,RubyX,Tax saving FD,Pradhan mantri awas yojana,Insta PL,old car loan,Manchester United,gold loan,business loan,vehicle insurance,loan against property,loan against securities,Flexi cash,life insurance,Fixed deposit,recurring deposit"
Insta car loan,"education loan,Insta car loan,new car loan,Sapphiro,Tax saving FD,Manchester United,Travel insurance,old car loan,business loan,RubyX,Insta home loan,money multiplier FD,gold loan,loan against property,loan against car,loan against securities,recurring deposit,life insurance,FD Xtra,Pradhan mantri awas yojana,Insta PL,home loan balance transfer,vehicle insurance,Flexi cash,Fixed deposit"
gold loan,"Insta car loan,Flexi cash,new car loan,recurring deposit,old car loan,education loan,vehicle insurance,loan against property,Tax saving FD,Manchester United,Insta home loan,FD Xtra,Fixed deposit,gold loan,Travel insurance,home loan balance transfer,business loan,money multiplier FD,RubyX,loan against securities,life insurance,Insta PL,Pradhan mantri awas yojana,Sapphiro,loan against car"
FD Xtra,"money multiplier FD,Sapphiro,vehicle insurance,Insta home loan,Manchester United,Tax saving FD,Flexi cash,life insurance,Fixed deposit,new car loan,loan against securities,business loan,Travel insurance,loan against property,old car loan,home loan balance transfer,recurring deposit,loan against car,education loan,gold loan,Insta car loan,Insta PL,FD Xtra,RubyX,Pradhan mantri awas yojana"
home loan balance transfer,"education loan,Pradhan mantri awas yojana,Insta PL,Manchester United,loan against property,Tax saving FD,life insurance,loan against car,new car loan,business loan,loan against securities,Flexi cash,money multiplier FD,Fixed deposit,Insta home loan,old car loan,FD Xtra,gold loan,Sapphiro,RubyX,vehicle insurance,home loan balance transfer,Insta car loan,Travel insurance,recurring deposit"
Insta home loan,"Flexi cash,loan against car,Pradhan mantri awas yojana,money multiplier FD,Insta car loan,new car loan,loan against property,old car loan,vehicle insurance,home loan balance transfer,FD Xtra,Fixed deposit,Sapphiro,education loan,Tax saving FD,business loan,Travel insurance,RubyX,Manchester United,life insurance,recurring deposit,gold loan,Insta home loan,Insta PL,loan against securities"
old car loan,"loan against securities,education loan,Tax saving FD,Pradhan mantri awas yojana,loan against property,home loan balance transfer,Manchester United,Sapphiro,business loan,life insurance,loan against car,RubyX,Travel insurance,new car loan,Insta PL,FD Xtra,recurring deposit,vehicle insurance,gold loan,Fixed deposit,Flexi cash,money multiplier FD,Insta home loan,Insta car loan,old car loan"
vehicle insurance,"loan against securities,Fixed deposit,new car loan,Tax saving FD,money multiplier FD,old car loan,life insurance,RubyX,business loan,loan against car,Travel insurance,Sapphiro,Pradhan mantri awas yojana,recurring deposit,Insta car loan,education loan,Insta home loan,loan against property,home loan balance transfer,Flexi cash,vehicle insurance,gold loan,Insta PL,FD Xtra,Manchester United"
Sapphiro,"life insurance,Insta home loan,new car loan,Insta car loan,Insta PL,loan against property,loan against securities,home loan balance transfer,Fixed deposit,loan against car,money multiplier FD,Tax saving FD,gold loan,Travel insurance,Manchester United,Pradhan mantri awas yojana,vehicle insurance,education loan,recurring deposit,business loan,old car loan,Flexi cash,Sapphiro,RubyX,FD Xtra"
loan against car,"recurring deposit,loan against car,life insurance,Pradhan mantri awas yojana,old car loan,home loan balance transfer,education loan,Flexi cash,business loan,new car loan,Sapphiro,Travel insurance,FD Xtra,Insta home loan,Fixed deposit,RubyX,Manchester United,loan against property,vehicle insurance,gold loan,Insta car loan,Insta PL,Tax saving FD,money multiplier FD,loan against securities"
loan against property,"Manchester United,life insurance,loan against car,business loan,home loan balance transfer,gold loan,Pradhan mantri awas yojana,FD Xtra,Travel insurance,recurring deposit,new car loan,Tax saving FD,loan against property,loan against securities,Insta PL,old car loan,Sapphiro,education loan,money multiplier FD,Insta home loan,vehicle insurance,Flexi cash,Fixed deposit,Insta car loan,RubyX"
Insta PL,"Manchester United,old car loan,Fixed deposit,Pradhan mantri awas yojana,loan against car,new car loan,loan against property,RubyX,recurring deposit,Sapphiro,gold loan,Insta home loan,loan against securities,Travel insurance,vehicle insurance,money multiplier FD,Insta car loan,FD Xtra,Insta PL,Flexi cash,Tax saving FD,life insurance,home loan balance transfer,education loan,business loan"
money multiplier FD,"new car loan,Travel insurance,Insta home loan,Pradhan mantri awas yojana,FD Xtra,Fixed deposit,Insta car loan,education loan,business loan,home loan balance transfer,old car loan,loan against securities,recurring deposit,life insurance,loan against car,Manchester United,RubyX,gold loan,Insta PL,Tax saving FD,loan against property,Flexi cash,money multiplier FD,vehicle insurance,Sapphiro"
Flexi cash,"Tax saving FD,money multiplier FD,Pradhan mantri awas yojana,old car loan,loan against property,education loan,home loan balance transfer,loan against car,Fixed deposit,vehicle insurance,gold loan,Insta PL,new car loan,Insta home loan,life insurance,Manchester United,Insta car loan,recurring deposit,FD Xtra,RubyX,Travel insurance,Flexi cash,Sapphiro,loan against securities,business loan"
loan against securities,"old car loan,Insta PL,Fixed deposit,gold loan,money multiplier FD,RubyX,Insta car loan,recurring deposit,Flexi cash,education loan,Tax saving FD,loan against securities,new car loan,Manchester United,vehicle insurance,home loan balance transfer,FD Xtra,Insta home loan,Pradhan mantri awas yojana,loan against car,Travel insurance,loan against property,Sapphiro,life insurance,business loan"
life insurance,"Flexi cash,recurring deposit,Travel insurance,Insta car loan,RubyX,Tax saving FD,money multiplier FD,gold loan,loan against car,old car loan,life insurance,Sapphiro,loan against securities,Pradhan mantri awas yojana,Manchester United,business loan,home loan balance transfer,Insta home loan,FD Xtra,Fixed deposit,vehicle insurance,education loan,new car loan,loan against property,Insta PL"
Travel insurance,"RubyX,education loan,Fixed deposit,Pradhan mantri awas yojana,Insta home loan,Insta car loan,money multiplier FD,Tax saving FD,loan against car,loan against securities,FD Xtra,Sapphiro,recurring deposit,Flexi cash,life insurance,gold loan,new car loan,Manchester United,loan against property,old car loan,business loan,Insta PL,vehicle insurance,Travel insurance,home loan balance transfer"
Manchester United,"Fixed deposit,recurring deposit,Pradhan mantri awas yojana,Manchester United,gold loan,loan against car,Insta home loan,old car loan,vehicle insurance,money multiplier FD,loan against securities,education loan,FD Xtra,RubyX,home loan balance transfer,new car loan,life insurance,Flexi cash,Sapphiro,Travel insurance,Insta car loan,Tax saving FD,Insta PL,loan against property,business loan"
